chr1:163589926-163590185 D1S1677
chr1:230769516-230769783 D1S1656
chr2:1489553-1489784 TPOX
chr2:68011847-68012094 D2S441
chr2:168788793-168789036 D2S1776
chr2:218014759-218015050 D2S1338
chr3:45540639-45540902 D3S1358
chr3:85803384-85803631 D3S4529
chr4:31302698-31302933 D4S2408
chr4:154587636-154587923 FGA
chr5:59401344-59401587 D5S2500
chr5:59403032-59403299 D5S2800
chr5:123775456-123775699 D5S818
chr5:150076224-150076475 CSF1PO
chr6:88277044-88277415 SE33
chr6:91740125-91740372 D6S1043
chr6:112557851-112558118 D6S474
chr7:84160126-84160377 D7S820
chr8:124894765-124895016 D8S1179
chr9:77073726-77073973 D9S1122
chr9:133160182-133160411 D9S2157
chr10:129294144-129294395 D10S1248
chr11:2170988-2171215 TH01
chr12:5983877-5984144 VWA
chr12:12296920-12297195 D12S391
chr12:107928490-107928728 D12ATA63
chr13:82147925-82148188 D13S317
chr14:94841954-94842205 D14S1434
chr15:96830915-96831154 Penta_E
chr16:86352602-86352845 D16S539
chr17:74684755-74685002 D17S1301
chr18:63281567-63281858 D18S51
chr19:29926135-29926398 D19S433
chr20:4525592-4525847 D20S482
chr21:19181873-19182199 D21S11
chr21:43636105-43636369 Penta_D
chr22:37140187-37140437 D22S1045
chrY:3263011-3263258 DYS393
chrY:3772690-3772937 DYS505
chrY:4402819-4403078 DYS456
chrY:6993090-6993357 DYS570
chrY:7185218-7185485 DYS576
chrY:7547485-7547724 DYS522
chrY:7999739-8000002 DYS458
chrY:8349854-8350239 DYS449
chrY:8558237-8558502 DYS481
chrY:8781844-8782249 DYS627
chrY:9684280-9684543 DYS19
chrY:11981989-11982232 DYS391
chrY:12258760-12259051 DYS635
chrY:12346167-12346426 DYS437_(GRCH38)
chrY:12403417-12403664 DYS439_(GRCH38)
chrY:12500348-12500789 DYS389-I_/_-II
chrY:12825789-12826048 DYS438_(GRCH38)
chrY:13640628-13640935 DYS612
chrY:15162967-15163262 DYS390
chrY:15207888-15208288 DYS518
chrY:15314032-15314286 DYS643
chrY:16281249-16281496 DYS533
chrY:16631573-16631820 Y-GATA-H4
chrY:18639613-18639976 DYS385b
chrY:19358238-19358489 DYS549
chrY:20471887-20472125 DYS392
chrY:22218823-22219178 DYS448
chrY:23785261-23785600 DYF387S1_fragment_1
chrX:9338202-9338550 DXS10135
chrX:9402162-9402401 DXS8378
chrX:65435547-65435802 DXS7132
chrX:67757245-67757500 DXS10074
chrX:134284859-134285158 DXS10103
chrX:134481409-134481660 HPRTB
chrX:150542422-150542689 DXS7423
chr1:7382711-7382974 D1GATA113
chr1:106420972-106421250 D1S1627
chr2:17310598-17310901 D2S1360
chr2:66823866-66824205 D2S1772
chr3:107271067-107271324 D3S3045
chr3:147374652-147374968 D3S1744
chr3:172033055-172033310 D3S3053
chr4:6482994-6483292 D4S2366
chr4:92596122-92596377 D4S2364
chr6:6140294-6140565 D6S477
chr6:41709421-41709700 D6S1017
chr7:21226999-21227284 D7S3048
chr7:123857545-123857832 D7S1517
chr8:42681338-42681611 D8S1115
chr8:106316572-106316944 D8S1132
chr9:18288988-18289299 D9S925
chr10:2201038-2201281 D10S1435
chr10:12750942-12751216 D10S2325
chr11:19259481-19259834 D11S2368
chr11:131002411-131002678 D11S4463
chr13:42599164-42599492 D13S325
chr14:28380143-28380450 D14S608
chr15:46081811-46082066 D15S659
chr17:10615328-10615594 D17S974
chr17:58254009-58254332 D17S1290
chr18:3990509-3990784 D18S853
chr18:40568743-40569029 D18S535
chr18:65732848-65733187 D18S1364
chr19:15617364-15617651 D19S253
chr20:17391787-17392086 D20S470
chr20:55249299-55249600 D20S1082
chr21:30334368-30334736 D21S1270
chr21:39819388-39819749 D21S2055
chr22:17169711-17169982 D22GATA198B05
chrY:3772270-3772641 DYS526-II
chrY:3772530-3773188 DYS526-I
chrY:6357729-6358175 DYF403S1a_(312_NT)
chrY:9681951-9682416 DYF403S1b1_(341_NT)
chrY:16760014-16760560 DYS547
chrY:22270730-22271147 DYS626
chrY:22950182-22950481 DYF399S1_fragment_1
chrY:24583939-24584225 DYF399S1_fragment_2
chrY:23094729-23094877 DYS464_fragment_1
chrY:24728354-24728772 DYS464_fragment_3
chrY:23807834-23808151 DYF404S1_fragment_1
chrX:9270818-9271183 DXS10148
chrX:67495961-67496264 DXS10079
chrX:134520365-134520719 DXS10101
chrX:150403692-150404185 DXS10146_(GRCH38)
chrX:150481726-150482131 DXS10134_(GRCH38)
