chr1:230769516-230769783 D1S1656
chr1:163589926-163590185 D1S1677
chr10:129294144-129294395 D10S1248
chr11:2170988-2171215 TH01
chr12:107928490-107928728 D12ATA63
chr12:12296920-12297195 D12S391
chr12:5983877-5984144 VWA
chr13:82147925-82148168 D13S317
chr14:94841954-94842205 D14S1434
chr15:96830915-96831239 PentaE
chr16:86352602-86352845 D16S539
chr17:74684755-74685002 D17S1301
chr18:63281567-63281838 D18S51
chr19:29926135-29926398 D19S433
chr2:218014759-218015050 D2S1338
chr2:168788793-168789036 D2S1776
chr2:68011847-68012094 D2S441
chr2:1489553-1489784 TPOX
chr20:4525592-4525847 D20S482
chr21:19181873-19182199 D21S11
chr21:43636105-43636369 PentaD
chr22:37140187-37140437 D22S1045
chr3:45540639-45540902 D3S1358
chr3:85803384-85803631 D3S4529
chr4:31302698-31302933 D4S2408
chr4:154587636-154587923 FGA
chr5:150076224-150076475 CSF1PO
chr5:59401344-59401587 D5S2500
chr5:59403032-59403299 D5S2800
chr5:123775456-123775699 D5S818
chr6:91740125-91740372 D6S1043
chr6:112557851-112558118 D6S474
chr6:88277044-88277445 SE33
chr7:84160126-84160377 D7S820
chr8:124894765-124895016 D8S1179
chr9:77073726-77073973 D9S1122
chr9:133160182-133160411 D9S2157
chrX:67757245-67757500 DXS10074
chrX:67778284-67778554 DXS10075
chrX:67495981-67496264 DXS10079
chrX:134520385-134520719 DXS10101
chrX:134284859-134285138 DXS10103
chrX:150481746-150482131 DXS10134
chrX:9338202-9338500 DXS10135
chrX:150403832-150404165 DXS10146
chrX:150495107-150495334 DXS10147
chrX:9270838-9271133 DXS10148
chrX:65435547-65435802 DXS7132
chrX:109798234-109798477 DXS7133
chrX:150542422-150542689 DXS7423
chrX:101363788-101364036 DXS7424
chrX:150398147-150398505 DXS8377
chrX:9402162-9402401 DXS8378
chrX:7459026-7459282 DXS9895
chrX:113931617-113931856 GATA172D05
chrX:134481409-134481660 HPRTB
